Subset Code	Subset Preferred Term	Concept Code	NCIt Preferred Term	NCIt Definition	ICDC Preferred Term	ICDC Synonym	CDISC Preferred Term
C166373	ICDC Property Terminology	C78541	Adverse Event Verbatim Description	The verbatim description of the adverse event.	adverse_event_description	adverse event description	AETERM
C166373	ICDC Property Terminology	C166200	Adverse Event Severity Grade	A numeric value corresponding to the degree of severity of an adverse event.	adverse_event_grade	adverse event grade	
C166373	ICDC Property Terminology	C164318	Adverse Event Grade Description	A textual description of the grade of an adverse event.	adverse_event_grade_description	adverse event grade description	
C166373	ICDC Property Terminology	C164320	Adverse Event Term	"A term that refers to an adverse event, often taken from a list of standardized terms."	adverse_event_term	adverse event term	
C166373	ICDC Property Terminology	C164321	Adverse Event Agent Name	The name of a therapeutic agent considered to be causally linked to an adverse event.	ae_agent_name	ae agent name	
C166373	ICDC Property Terminology	C164319	Adverse Event Dose	The dose of a therapeutic agent considered to be causally linked to an adverse event.	ae_dose	ae dose	
C166373	ICDC Property Terminology	C168623	Specify Other Adverse Event	A directive to identify the cause of an adverse event when the listed responses are not applicable.	ae_other	ae other	
C166373	ICDC Property Terminology	C164322	Drug Name	The identifier or name of a therapeutic agent.	agent_name	agent name	
C166373	ICDC Property Terminology	C166199	Agent Unit of Measure	The unit of measure that is associated with an agent for administration.	agent_units_of_measure	agent units of measure	
C166373	ICDC Property Terminology	C166205	Area of Analysis	The total area of a sample that is used for analysis.	analysis_area	analysis area	
C166373	ICDC Property Terminology	C166201	Percent of Glass in Analysis Area	The area of a sample on a slide that is represented by glass; the area of the sample that represents gaps in the sample.	analysis_area_percentage_glass	analysis area percentage glass	
C166373	ICDC Property Terminology	C166202	Percent Pigmented Tumor in Analysis Area	"The area of a sample on a slide that is represented by pigmented tumor tissue, which will be analyzed."	analysis_area_percentage_pigmented_tumor	analysis area percentage pigmented tumor	
C166373	ICDC Property Terminology	C166203	Percent Stroma in Analysis Area	The percentage of the analysis area that is represented by stromal tissue.	analysis_area_percentage_stroma	analysis area percentage stroma	
C166373	ICDC Property Terminology	C166204	Percent Tumor in Analysis Area	The percentage of the analysis area that is represented by tumor tissue.	analysis_area_percentage_tumor	analysis area percentage tumor	
C166373	ICDC Property Terminology	C164323	Surgical Site	The anatomical site on which surgery was performed.	anatomical_site_of_surgery	anatomical site of surgery	
C166373	ICDC Property Terminology	C49236	Therapeutic Procedure	An action or administration of therapeutic agents to produce an effect that is intended to alter or stop a pathologic process.	any_therapy	any therapy	
