Node	Property	NCI Code	NCI PT	NCI DEF		
nucleic_acid	aliquot_id	C172254	Nucleic Acid Aliquot Unique Identifier	A unique identifier assigned to an aliquot containing a nucleic acid sample.		
delins_variant; indel_variant; snv_variant	alternative	C97927	Gene Mutant	A variation in the nucleic acid sequence of a specific gene.		
delins_variant; indel_variant; snv_variant	amino_acid_change	C97928	Gene Product Sequence Variation	A variation in the amino acid sequence of a specific gene product.		
assignment_report; variant_report	analysis_id	C171180	Source-Specific Sequence Variant Report Unique Identifier	A unique identifier assigned to each variant report by the original data source site.		
arm	arm_drug	C172236	Protocol Treatment Arm Drug Name	The name of the therapeutic agent or agents administered in a specific arm of a study.		
arm	arm_id	C171181	Protocol Treatment Arm Unique Identifier	A unique identifier assigned to a protocol treatment arm.		
arm	arm_target	C172275	Protocol Treatment Arm Molecular Target	A description of the molecular target(s) of a protocol arm.		
assignment_report	assignment_logic	C171182	Protocol Treatment Arm Assignment Rationale	The rationale used for assigning a subject to a study arm.		
assignment_report	assignment_outcome	C172271	Patient Status Following Protocol Treatment Arm Assignment	The status of a patient following assignment to a treatment arm.		
assignment_report	assignment_report_id	C172237	Protocol Treatment Arm Assignment Report Unique Identifier	A unique identifier assigned to a protocol arm assignment report.		
specimen	biopsy_sequence_number	C171262	Biopsy Sample Unique Identifier	A unique identifier assigned to a subject's biopsy sample.		
case	case_id	C164324	Case Identifier	A unique alphanumeric identifier assigned to a specific case.		
variant_report	cellularity	C123556	Cancer Cellularity Measurement	The determination of the ratio of neoplastic cells compared to total cells in a sample. The measurement may be expressed as a ratio or percentage.		
copy_number_variant; delins_variant; indel_variant; snv_variant	chromosome	C13202	Chromosome	"One of the bodies in the cell nucleus that is the bearer of genes, has the form of a delicate chromatin filament during interphase, contracts to form a compact cylinder segmented into two arms by the centromere during metaphase and anaphase stages of cell division, and is capable of reproducing its physical and chemical structure through successive cell divisions."		
clinical_trial	clinical_trial_description	C172238	Clinical Trial Description	A description of the clinical trial.		
clinical_trial	clinical_trial_designation	C172239	Clinical Trial Designation	An abbreviation or short name used as an identifier for a trial.		
clinical_trial	clinical_trial_id	C172240	Clinicaltrials.gov Identifier	The unique alphanumeric identifier for a trial as assigned by the Clinicaltrials.gov Protocol Registration and Results System (PRS).		
clinical_trial	clinical_trial_long_name	C171263	Clinical Trial Long Name	The complete name or title of a clinical trial.		
clinical_trial	clinical_trial_short_name	C171183	Clinical Trial Short Name	An abbreviated form of the name or title of a clinical trial.		
clinical_trial	clinical_trial_type	C49660	Trial Type	"The type of clinical trial performed e.g. efficacy, safety."		
case	ctep_category	C171186	Clinical Diagnosis by CTEP Disease Category	A clinical diagnosis designation using a category term in the NCI Cancer Therapeutic Evaluation Program (CTEP) Simplified Disease Classification (SDC) terminology.		
case	ctep_subcategory	C171187	Clinical Diagnosis by CTEP Disease Sub-Category	A clinical diagnosis designation using a sub-category term in the NCI Cancer Therapeutic Evaluation Program (CTEP) Simplified Disease Classification (SDC) terminology.		
case	current_step	C16154	Treatment Step	A specific stage of progression through a sequential treatment protocol.		
case	disease	C2991	Disease or Disorder	"Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person. The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function."		
case	ecog_performance_status	C105721	ECOG Performance Status	A performance status scale designed to assess disease progression and its affect on the daily living abilities of the patient.		
case	ethnicity	C16564	Ethnic Group	A social group characterized by a distinctive social and cultural tradition that is maintained from generation to generation. Members share a common history and origin and a sense of identification with the group. They have similar and distinctive features in their lifestyle habits and shared experiences. They often have a common genetic heritage which may be reflected in their experience of health and disease.		
delins_variant; indel_variant; snv_variant	exon	C171188	Variant Exon	The exon of a gene that contains the nucleotide variation that was identified by nucleic acid sequencing.		
sequencing_assay	experimental_method	C18881	Nucleic Acid Sequencing	The process of determining the sequence of purines and pyrimidines in nucleic acids and polynucleotides.		
case	extent_of_disease	PENDING				
copy_number_variant; delins_variant; gene_fusion_variant; indel_variant; snv_variant	external_variant_id	C164813	Genetic Variation Identifier	"BRIDG 5.3 DEF: A unique symbol that establishes the identity of the genetic variation.    EXAMPLE(S): An rs identifier in dbSNP, a mutation identifier in COSMIC, or a variant identifier in OMIM  OTHER NAME(S):  NOTE(S):"		
file	file_description	C171190	Electronic File Description	A free text field that can be used to document details about an electronic file that may not be captured elsewhere.		
file	file_format	C171252	Electronic File Format	The format of an electronic file.		
file	file_location	C47922	Pathname	"The specification of a node (file or directory) in a hierarchical file system, usually specified by listing the nodes top-down."		
file	file_name	C171191	Electronic File Name	The literal identifier for an electronic file.		
file	file_size	C171192	Electronic File Size	The size of an electronic file.		
file	file_status	C171193	Electronic File Status	The condition for an electronic file relative to the current data or file processing step.		
file	file_type	C172272	Electronic File Content Type	The nature of the content stored in an electronic file.		
case	gender	C17357	Gender	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.		
