Integrated Canine Data Commons (ICDC) Cross Mapping																																	hide	hide	hide	hide	hide	hide																				
ICDC Model (WHAT IS VERSION NUMBER?)									Comparative Oncology Trials Consortium (COTC007B) (WHAT IS VERSION NUMBER?)								National Center for Advancing Translational Sciences (NCATS) (WHAT IS VERSION NUMBER?)								PRE-medical Cancer Immunotherapy Network Canine Trials (PRECINCT V1.0.20180918)								NCI Thesaurus (NCIt)			CDISC CDASH v2.1			CDISC SDTM IG v3.3 SENDIG-AR v1.0											BRIDG v5.3.1								
Node	Property	Element Type	Data Type	Cardinality	Semantic Description	Value Set or Examples	Review By	"Comments, Issues & Rationale"	Group Name	Element Name	Data Type	Cardinality	Semantic Description	Value Set or Examples	Review By	"Comments, Issues & Rationale"	Group Name	Element Name	Data Type	Cardinality	Semantic Description	Value Set or Examples	Review By	"Comments, Issues & Rationale"	Group Name	Element Name	Data Type	Cardinality	Semantic Description	Value Set or Examples	Review By	"Comments, Issues & Rationale"	NCIt Concept Code	NCIt Preferred Term	NCIt Definition	SDTM Domain	SDTM Variable	SDTM É	Domain	Variable	Variable Label	Type	CodeList	Role	Notes	Core	"Codelist NCIt 
C-Code"	CT Term	"CT NCIt 
C-Code"	Mapping Path	Class	Element	Element Type	Data Type	Cardinality	Description	Review By	"Comments, Issues & Rationale"
adverse_event		Node																																																"StudySubject > PerformedObservation > AdverseEvent WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"""	AdverseEvent		Class			"DEFINITION: 
Any unfavorable and unintended sign, symptom, disease, or other medical occurrence with a temporal association with the use of a medical product, procedure or other therapy, or in conjunction with a research study, regardless of causal relationship. 

EXAMPLE(S):
death, back pain, headache, pulmonary embolism, heart attack

OTHER NAME(S):

NOTE(S):
The BRIDG SCC has a GForge Tracker Issue (#31893) indicating a need to validate the requirement that every AdverseEvent be described by a SafetyReportVersion."		
adverse_event	adverse_event_description	Property																																																"StudySubject > PerformedObservation > AdverseEvent.summary WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"""	AdverseEvent	summary	Attrib	ST	0..1	"DEFINITION:
A description of the adverse event and the treatment of the event.

EXAMPLE(S):

OTHER NAME(S):

NOTE(S):"		
adverse_event	adverse_event_grade	Property																																																"StudySubject > PerformedObservation > AdverseEvent.gradeCode(CD).code WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"""	AdverseEvent	gradeCode	Attrib	CD	0..1	"(derived)
DEFINITION:
A coded value specifying the level of injury suffered by the subject for whom the event is reported.

EXAMPLE(S):
The gradeCode could be 3 if the CTCAE coding system is being used.

OTHER NAME(S):

NOTE(S):
Derived from PerformedClinicalInterpretation.value(ANY=&gt;CD).code WHERE PerformedObservationResult &gt; PerformedObservation &gt; DefinedObservation.nameCode = ""grade assessment"""		
adverse_event	adverse_event_grade_description	Property																																																"StudySubject > PerformedObservation > AdverseEvent.gradeCode(CD).displayName WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"""	AdverseEvent	gradeCode	Attrib	CD	0..1	"(derived)
DEFINITION:
A coded value specifying the level of injury suffered by the subject for whom the event is reported.

EXAMPLE(S):
The gradeCode could be 3 if the CTCAE coding system is being used.

OTHER NAME(S):

NOTE(S):
Derived from PerformedClinicalInterpretation.value(ANY=&gt;CD).code WHERE PerformedObservationResult &gt; PerformedObservation &gt; DefinedObservation.nameCode = ""grade assessment"""		
adverse_event	adverse_event_term	Property																																																"StudySubject > PerformedObservation > AdverseEvent.value(ANY=>CD).displayName WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"""	PerformedObservationResult	value	Attrib	ANY	1...1	"DEFINITION:
Data or information that is determined by an act of observation.

EXAMPLE(S):
The result of a lab test, physical finding, self-reported symptom.

The adverse event term code.

OTHER NAME(S):

NOTE(S):"		
adverse_event	ae_agent_name	Property																																																"StudySubject > PerformedObservation > AdverseEvent > CausalAssessment > EvaluatedActivity > PerformedSubstanceAdministration > Drug > MaterialName.name WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"""	MaterialName	name	Attrib	TN	0..1	"DEFINITION:
A non-unique textual identifier for the material.  

EXAMPLE(S):
The therapeutic agent used in a chemotherapy clinical trial.

OTHER NAME(S):

NOTE(S):"		
adverse_event	ae_dose	Property																																																"StudySubject > PerformedObservation > AdverseEvent > CausalAssessment > EvaluatedActivity > PerformedSubstanceAdministration.productDose WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"""	PerformedSubstanceAdministration	productDose	Attrib	PQ	0..1	"DEFINITION:
The quantity of a substance or medication used in a substance administration.

EXAMPLE(S):
5 mg

OTHER NAME(S):

NOTE(S):
DefinedSubstanceAdministration.productDose can contain a dose expressed in absolute or relative terms (e.g., mg or mg/kg). ScheduledSubstanceAdministration.activeIngredientDose and PerformedSubstanceAdministration.productDose must contain a dose expressed in absolute terms (e.g., mg). If the DefinedSubstanceAdministration.productDose was expressed in relative terms (e.g., mg/kg), then the absolute dose must have been calculated using one or more observed factors as identified by the DefinedExpressionVariableRelationship."		
adverse_event	ae_other	Property																																																"StudySubject > PerformedObservation > AdverseEvent > CausalAssessment > EvaluatedActivityRelationship > PerformedActivity > DefinedActivity.nameCode(CD).originalText WHERE DefinedActivity.nameCode(CD).nullFlavor = ""OTH"""	DefinedActivity	nameCode	Attrib	CD	1...1	"DEFINITION:
A coded value specifying the non-unique textual identifier for the activity.

EXAMPLE(S):
CPT4 or SNOMED term for a surgical procedure.

Coded value for a single analytic procedure in a lab test.

The code and text of an individual question on the eligibility checklist of a protocol.

OTHER NAME(S):

NOTE(S):
The textual description of the activity is captured in the complex data type CD."	"BRIDG

ICDC team"	"This mapping assumes this value is the ""specify"" that pairs with the attribution_to_other above."
adverse_event	attribution_to_commercial	Property																																																"StudySubject > PerformedObservation > AdverseEvent > CausalAssessment > EvaluatedActivityRelationship.probabilityCode WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"" AND EvaluatedActivityRelationship > PerformedSubstanceAdministration > DefinedActivity.nameCode = ""administer commercial drug"""	EvaluatedActivityRelationship	probabilityCode	Attrib	CD	0..1	"DEFINITION:
A coded value specifying the likelihood of the identified cause of an adverse event.

EXAMPLE(S):
unrelated, unlikely, possible, probable, definite (for adverse events in respect to CTEP and FAET)

related, possibly related, unlikely related, not related (for adverse events in respect to SDTM &amp; E2B)

OTHER NAME(S):

NOTE(S):"	BRIDG	"This mapping assumes this element is a boolean or code and means that the causal assessment of the AE was/was not attributed to a commercial drug.

Q:  review mapping"
adverse_event	attribution_to_disease	Property																																																"StudySubject > PerformedObservation > AdverseEvent > CausalAssessment > EvaluatedActivityRelationship.probabilityCode WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"" AND EvaluatedResultRelationship > PerformedDiagnosis"	EvaluatedActivityRelationship	probabilityCode	Attrib	CD	0..1	"DEFINITION:
A coded value specifying the likelihood of the identified cause of an adverse event.

EXAMPLE(S):
unrelated, unlikely, possible, probable, definite (for adverse events in respect to CTEP and FAET)

related, possibly related, unlikely related, not related (for adverse events in respect to SDTM &amp; E2B)

OTHER NAME(S):

NOTE(S):"	BRIDG	"This mapping assumes this element is a boolean or code and means that the causal assessment of the AE was/was not attributed to a research drug aka study agent.

Q:  review mapping"
adverse_event	attribution_to_ind	Property																																																							ICDC team	Q:  Is this referring to the investigational new drug (IND) or an indication of some kind?  Need more info to map properly.
adverse_event	attribution_to_other	Property																																																"StudySubject > PerformedObservation > AdverseEvent > CausalAssessment > EvaluatedActivityRelationship.probabilityCode WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"" AND EvaluatedActivityRelationship > PerformedActivity > DefinedActivity.nameCode(CD).nullFlavor = ""OTH"""	EvaluatedActivityRelationship	probabilityCode	Attrib	CD	0..1	"DEFINITION:
A coded value specifying the likelihood of the identified cause of an adverse event.

EXAMPLE(S):
unrelated, unlikely, possible, probable, definite (for adverse events in respect to CTEP and FAET)

related, possibly related, unlikely related, not related (for adverse events in respect to SDTM &amp; E2B)

OTHER NAME(S):

NOTE(S):"	"BRIDG

ICDC team"	"This mapping assumes this element is a boolean or code and means that the causal assessment of the AE was/was not attributed to an unnamed activity.

Q for BRIDG:  review mapping

Q for ICDC team:  Is the ae_other the ""specify"" paired with this?"
adverse_event	attribution_to_research	Property																																																"StudySubject > PerformedObservation > AdverseEvent > CausalAssessment > EvaluatedActivityRelationship.probabilityCode WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"" AND EvaluatedActivityRelationship > PerformedSubstanceAdministration > DefinedActivity.nameCode = ""administer research drug"""	EvaluatedActivityRelationship	probabilityCode	Attrib	CD	0..1	"DEFINITION:
A coded value specifying the likelihood of the identified cause of an adverse event.

EXAMPLE(S):
unrelated, unlikely, possible, probable, definite (for adverse events in respect to CTEP and FAET)

related, possibly related, unlikely related, not related (for adverse events in respect to SDTM &amp; E2B)

OTHER NAME(S):

NOTE(S):"	BRIDG	"This mapping assumes this element is a boolean or code and means that the causal assessment of the AE was/was not attributed to a research drug aka study agent.

Q:  review mapping"
adverse_event	crf_id	Property																																																"StudySubject > PerformedObservation > AdverseEvent > SafetyReportVersion.identifier WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"""	DocumentVersion	identifier	Attrib	ID	0..1	"DEFINITION:
A unique symbol that establishes identity of the document version.

EXAMPLE(S):

OTHER NAME(S):

NOTE(S):"	BRIDG	Q:  Could this be the association to SafetyReportVersion or is that more a regulatory purpose than a CRF?
adverse_event	date_resolved	Property																																																"StudySubject > PerformedObservation > AdverseEvent.occurrenceDateRange(IVL<TS.DATETIME>).high WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"""	AdverseEvent	occurrenceDateRange	Attrib	IVL<TS.DATETIME>	0..1	"DEFINITION:
The date and time span in which the adverse event began and ended. 

EXAMPLE(S):

OTHER NAME(S):
onset date, resolution date, duration

NOTE(S):
These may be partial dates or durations (duration is the width property of the IVL&lt;TS&gt; data type)."		
adverse_event	day_in_cycle	Property																																																GAP							ICDC team	Q:  Is this like day 10 in a 20 day cycle of substance administration?
adverse_event	dose_limiting_toxicity	Property																																																"StudySubject > PerformedObservation > AdverseEvent.value(ANY=>???) WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"" AND AdverseEvent.typeCode = ""dose limiting toxicity"""	PerformedObservationResult	value	Attrib	ANY	1...1	"DEFINITION:
Data or information that is determined by an act of observation.

EXAMPLE(S):
The result of a lab test, physical finding, self-reported symptom.

The adverse event term code.

OTHER NAME(S):

NOTE(S):"	ICDC team	Q:  What's the data type of this element?
adverse_event	unexpected_adverse_event	Property																																																"StudySubject > PerformedObservation > AdverseEvent.expectedIndicator WHERE PerformedObservation > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""monitor for AEs"""	AdverseEvent	expectedIndicator	Attrib	BL	0..1	"DEFINITION:
Specifies whether the specificity (nature), frequency, or severity of an adverse event is consistent with the applicable study documentation (e.g., investigator's brochure, protocol document, or consent document) or product labeling (package insert). 

EXAMPLE(S):

OTHER NAME(S):

NOTE(S):"		"Note that the sense of the ICDC concept is opposite to the BRIDG attribute so if unexpected_adverse_event is a boolean and it's ""true"", then BRIDG's AdverseEvent.expected indicator = ""false"" and vice versa.  Seems like to concept is still present so we're marking this Supported."
adverse_event	of_agent > agent	Relation																																																AdverseEvent > CausalAssessment > EvaluatedActivityRelationship WHERE EvaluatedActivityRelationship > PerformedSubstanceAdministration > Product	EvaluatedActivityRelationship	evaluatedPerformedActivity(PerformedActivity)	Assoc		1..1	"EvaluatedActivityRelationship [evaluatingEvaluatedActivityRelationship] (0..*) evaluates / be evaluated by (1) [evaluatedPerformedActivity] PerformedActivity
DESCRIPTION:
Each EvaluatedActivityRelationship always evaluates one PerformedActivity. Each PerformedActivity might be evaluated by one or more EvaluatedActivityRelationship.

DEFINITION:

EXAMPLE(S):

OTHER NAME(S):

NOTE(S):
"		"See Comments on Agent mapping re Product vs Drug - need confirmation 

Note that from a BRIDG perspective, there's a lot of concepts in the connection between an AE and the agent that may have caused it."
adverse_event	next > adverse_event	Relation																																																"DERIVED FROM:
AdverseEvent (1)  > PerformedObservation (monitor for AEs) > Subject > PerformedObservation (monitor for AEs) > AdverseEvent (2) WHERE AdverseEvent.occurrenceDateRange (2) MOST CLOSELY FOLLOWS AdverseEvent.occurrenceDateRange (1)"								"From a BRIDG perspective, this would just be the next AE chronologically and since it's derivable, would not be made explicit in the model, especially as that may lead to data integrity issues (AE could potentially point to another AE that is not actually the next one chronologically)."
